##;ENG;ENG;ENG;ENG;ENG;ENG;ENG;ENG;;;X;
PROV0;(Embarked);(Embarked);(Embarked);(Embarked);(Embarked);(Embarked);(Embarked);(Embarked);;;x;
PROV15;Nas na Riogh;Nas na Riogh;Nas na Riogh;Nas na Riogh;Nas na Riogh;Nas na Riogh;Nas na Riogh;Nas na Riogh;;;X;
PROV16;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;;;X;
PROV17;Leitir Ceanainn;Leitir Ceanainn;Leitir Ceanainn;Leitir Ceanainn;Leitir Ceanainn;Leitir Ceanainn;Leitir Ceanainn;Leitir Ceanainn;;;X;
PROV18;Belfast;Belfast;Belfast;Belfast;Belfast;Belfast;Belfast;Belfast;;;X;
PROV19;Londonderry;Londonderry;Londonderry;Londonderry;Londonderry;Londonderry;Londonderry;Londonderry;;;X;
PROV20;Muineachan;Muineachan;Muineachan;Muineachan;Muineachan;Muineachan;Muineachan;Muineachan;;;X;
PROV21;Omagh;Omagh;Omagh;Omagh;Omagh;Omagh;Omagh;Omagh;;;X;
PROV22;Newry;Newry;Newry;Newry;Newry;Newry;Newry;Newry;;;X;
PROV23;Stornoway;Stornoway;Stornoway;Stornoway;Stornoway;Stornoway;Stornoway;Stornoway;;;X;
PROV24;Kirkwall;Kirkwall;Kirkwall;Kirkwall;Kirkwall;Kirkwall;Kirkwall;Kirkwall;;;X;
PROV25;Inverness;Inverness;Inverness;Inverness;Inverness;Inverness;Inverness;Inverness;;;X;
PROV26;Aberdeen;Aberdeen;Aberdeen;Aberdeen;Aberdeen;Aberdeen;Aberdeen;Aberdeen;;;X;
PROV27;Lerwick;Lerwick;Lerwick;Lerwick;Lerwick;Lerwick;Lerwick;Lerwick;;;X;
PROV28;Dumbarton;Dumbarton;Dumbarton;Dumbarton;Dumbarton;Dumbarton;Dumbarton;Dumbarton;;;X;
PROV29;Elgin;Elgin;Elgin;Elgin;Elgin;Elgin;Elgin;Elgin;;;X;
PROV30;Thurso;Thurso;Thurso;Thurso;Thurso;Thurso;Thurso;Thurso;;;X;
PROV31;Portree;Portree;Portree;Portree;Portree;Portree;Portree;Portree;;;X;
PROV32;Bowmore;Bowmore;Bowmore;Bowmore;Bowmore;Bowmore;Bowmore;Bowmore;;;X;
PROV33;Glasgow;Glasgow;Glasgow;Glasgow;Glasgow;Glasgow;Glasgow;Glasgow;;;X;
PROV34;Dumfries;Dumfries;Dumfries;Dumfries;Dumfries;Dumfries;Dumfries;Dumfries;;;X;
PROV35;Edinburgh;Edinburgh;Edinburgh;Edinburgh;Edinburgh;Edinburgh;Edinburgh;Edinburgh;;;X;
PROV36;Hawick;Hawick;Hawick;Hawick;Hawick;Hawick;Hawick;Hawick;;;X;
PROV37;Paisley;Paisley;Paisley;Paisley;Paisley;Paisley;Paisley;Paisley;;;X;
PROV38;Dunfermline;Dunfermline;Dunfermline;Dunfermline;Dunfermline;Dunfermline;Dunfermline;Dunfermline;;;X;
PROV39;Dundee;Dundee;Dundee;Dundee;Dundee;Dundee;Dundee;Dundee;;;X;
PROV40;Sunderland;Sunderland;Sunderland;Sunderland;Sunderland;Sunderland;Sunderland;Sunderland;;;X;
PROV41;Kingston upon Hull;Kingston upon Hull;Kingston upon Hull;Kingston upon Hull;Kingston upon Hull;Kingston upon Hull;Kingston upon Hull;Kingston upon Hull;;;X;
PROV42;Manchester;Manchester;Manchester;Manchester;Manchester;Manchester;Manchester;Manchester;;;X;
PROV43;Sheffield;Sheffield;Sheffield;Sheffield;Sheffield;Sheffield;Sheffield;Sheffield;;;X;
PROV44;Carlisle;Carlisle;Carlisle;Carlisle;Carlisle;Carlisle;Carlisle;Carlisle;;;X;
PROV45;Douglas;Douglas;Douglas;Douglas;Douglas;Douglas;Douglas;Douglas;;;X;
PROV46;Liverpool;Liverpool;Liverpool;Liverpool;Liverpool;Liverpool;Liverpool;Liverpool;;;X;
PROV47;Leeds;Leeds;Leeds;Leeds;Leeds;Leeds;Leeds;Leeds;;;X;
PROV48;Newcastle upon Tyne;Newcastle upon Tyne;Newcastle upon Tyne;Newcastle upon Tyne;Newcastle upon Tyne;Newcastle upon Tyne;Newcastle upon Tyne;Newcastle upon Tyne;;;X;
PROV49;Birmingham;Birmingham;Birmingham;Birmingham;Birmingham;Birmingham;Birmingham;Birmingham;;;X;
PROV50;Cardiff;Cardiff;Cardiff;Cardiff;Cardiff;Cardiff;Cardiff;Cardiff;;;X;
PROV51;Oxford;Oxford;Oxford;Oxford;Oxford;Oxford;Oxford;Oxford;;;X;
PROV52;Bristol;Bristol;Bristol;Bristol;Bristol;Bristol;Bristol;Bristol;;;X;
PROV53;Plymouth;Plymouth;Plymouth;Plymouth;Plymouth;Plymouth;Plymouth;Plymouth;;;X;
PROV54;Truro;Truro;Truro;Truro;Truro;Truro;Truro;Truro;;;X;
PROV55;Carmarthen;Carmarthen;Carmarthen;Carmarthen;Carmarthen;Carmarthen;Carmarthen;Carmarthen;;;X;
PROV56;Taunton;Taunton;Taunton;Taunton;Taunton;Taunton;Taunton;Taunton;;;X;
PROV57;Southampton;Southampton;Southampton;Southampton;Southampton;Southampton;Southampton;Southampton;;;X;
PROV58;Swindon;Swindon;Swindon;Swindon;Swindon;Swindon;Swindon;Swindon;;;X;
PROV59;Stoke-on-Trent;Stoke-on-Trent;Stoke-on-Trent;Stoke-on-Trent;Stoke-on-Trent;Stoke-on-Trent;Stoke-on-Trent;Stoke-on-Trent;;;X;
PROV60;Llandrindod Wells;Llandrindod Wells;Llandrindod Wells;Llandrindod Wells;Llandrindod Wells;Llandrindod Wells;Llandrindod Wells;Llandrindod Wells;;;X;
PROV61;Wrexham;Wrexham;Wrexham;Wrexham;Wrexham;Wrexham;Wrexham;Wrexham;;;X;
PROV62;Hugh Town;Hugh Town;Hugh Town;Hugh Town;Hugh Town;Hugh Town;Hugh Town;Hugh Town;;;X;
PROV63;Newport;Newport;Newport;Newport;Newport;Newport;Newport;Newport;;;X;
PROV64;Norwich;Norwich;Norwich;Norwich;Norwich;Norwich;Norwich;Norwich;;;X;
PROV65;London;London;London;London;London;London;London;London;;;X;
PROV66;Dover;Dover;Dover;Dover;Dover;Dover;Dover;Dover;;;X;
PROV67;Portsmouth;Portsmouth;Portsmouth;Portsmouth;Portsmouth;Portsmouth;Portsmouth;Portsmouth;;;X;
PROV68;Lincoln;Lincoln;Lincoln;Lincoln;Lincoln;Lincoln;Lincoln;Lincoln;;;X;
PROV69;Luton;Luton;Luton;Luton;Luton;Luton;Luton;Luton;;;X;
PROV70;Southend-on-Sea;Southend-on-Sea;Southend-on-Sea;Southend-on-Sea;Southend-on-Sea;Southend-on-Sea;Southend-on-Sea;Southend-on-Sea;;;X;
PROV71;Cambridge;Cambridge;Cambridge;Cambridge;Cambridge;Cambridge;Cambridge;Cambridge;;;X;
PROV72;Coventry;Coventry;Coventry;Coventry;Coventry;Coventry;Coventry;Coventry;;;X;
PROV73;Ipswich;Ipswich;Ipswich;Ipswich;Ipswich;Ipswich;Ipswich;Ipswich;;;X;
PROV74;Saint Helier;Saint Helier;Saint Helier;Saint Helier;Saint Helier;Saint Helier;Saint Helier;Saint Helier;;;X;
PROV75;Saint Peter Port;Saint Peter Port;Saint Peter Port;Saint Peter Port;Saint Peter Port;Saint Peter Port;Saint Peter Port;Saint Peter Port;;;X;
PROV76;Rotterdam;Rotterdam;Rotterdam;Rotterdam;Rotterdam;Rotterdam;Rotterdam;Rotterdam;;;X;
PROV77;Amsterdam;Amsterdam;Amsterdam;Amsterdam;Amsterdam;Amsterdam;Amsterdam;Amsterdam;;;X;
PROV78;Middelburg;Middelburg;Middelburg;Middelburg;Middelburg;Middelburg;Middelburg;Middelburg;;;X;
PROV79;Eindhoven;Eindhoven;Eindhoven;Eindhoven;Eindhoven;Eindhoven;Eindhoven;Eindhoven;;;X;
PROV80;Arnhem;Arnhem;Arnhem;Arnhem;Arnhem;Arnhem;Arnhem;Arnhem;;;X;
PROV81;Groningen;Groningen;Groningen;Groningen;Groningen;Groningen;Groningen;Groningen;;;X;
PROV82;Enschede;Enschede;Enschede;Enschede;Enschede;Enschede;Enschede;Enschede;;;X;
PROV83;Nijmegen;Nijmegen;Nijmegen;Nijmegen;Nijmegen;Nijmegen;Nijmegen;Nijmegen;;;X;
PROV84;Maastricht;Maastricht;Maastricht;Maastricht;Maastricht;Maastricht;Maastricht;Maastricht;;;X;
PROV85;Terneuzen;Terneuzen;Terneuzen;Terneuzen;Terneuzen;Terneuzen;Terneuzen;Terneuzen;;;X;
PROV86;Leeuwarden;Leeuwarden;Leeuwarden;Leeuwarden;Leeuwarden;Leeuwarden;Leeuwarden;Leeuwarden;;;X;
PROV87;Utrecht;Utrecht;Utrecht;Utrecht;Utrecht;Utrecht;Utrecht;Utrecht;;;X;
PROV88;Breda;Breda;Breda;Breda;Breda;Breda;Breda;Breda;;;X;
PROV89;Ostende;Ostende;Ostende;Ostende;Ostende;Ostende;Ostende;Ostende;;;X;
PROV90;Brugge;Brugge;Brugge;Brugge;Brugge;Brugge;Brugge;Brugge;;;X;
PROV91;Antwerpen;Antwerpen;Antwerpen;Antwerpen;Antwerpen;Antwerpen;Antwerpen;Antwerpen;;;X;
PROV92;Brussel;Brussel;Brussel;Brussel;Brussel;Brussel;Brussel;Brussel;;;X;
PROV93;Hasselt;Hasselt;Hasselt;Hasselt;Hasselt;Hasselt;Hasselt;Hasselt;;;X;
PROV94;Ghent;Ghent;Ghent;Ghent;Ghent;Ghent;Ghent;Ghent;;;X;
PROV95;Mons;Mons;Mons;Mons;Mons;Mons;Mons;Mons;;;X;
PROV96;Namur;Namur;Namur;Namur;Namur;Namur;Namur;Namur;;;X;
PROV97;Liège;Liège;Liège;Liège;Liège;Liège;Liège;Liège;;;X;
PROV98;Arlon;Arlon;Arlon;Arlon;Arlon;Arlon;Arlon;Arlon;;;X;
PROV99;Lëtzebuerg;Lëtzebuerg;Lëtzebuerg;Lëtzebuerg;Lëtzebuerg;Lëtzebuerg;Lëtzebuerg;Lëtzebuerg;;;X;
PROV100;Charleroi;Charleroi;Charleroi;Charleroi;Charleroi;Charleroi;Charleroi;Charleroi;;;X;
PROV101;Eupen;Eupen;Eupen;Eupen;Eupen;Eupen;Eupen;Eupen;;;X;
PROV102;Dinant;Dinant;Dinant;Dinant;Dinant;Dinant;Dinant;Dinant;;;X;
PROV103;Calais;Calais;Calais;Calais;Calais;Calais;Calais;Calais;;;X;
PROV104;Amiens;Amiens;Amiens;Amiens;Amiens;Amiens;Amiens;Amiens;;;X;
PROV105;Dunkerque;Dunkerque;Dunkerque;Dunkerque;Dunkerque;Dunkerque;Dunkerque;Dunkerque;;;X;
PROV106;Lille;Lille;Lille;Lille;Lille;Lille;Lille;Lille;;;X;
PROV107;Compiegne;Compiegne;Compiegne;Compiegne;Compiegne;Compiegne;Compiegne;Compiegne;;;X;
PROV108;Valenciennes;Valenciennes;Valenciennes;Valenciennes;Valenciennes;Valenciennes;Valenciennes;Valenciennes;;;X;
PROV109;Saint-Quentin;Saint-Quentin;Saint-Quentin;Saint-Quentin;Saint-Quentin;Saint-Quentin;Saint-Quentin;Saint-Quentin;;;X;
PROV110;Arras;Arras;Arras;Arras;Arras;Arras;Arras;Arras;;;X;
PROV111;Abbeville;Abbeville;Abbeville;Abbeville;Abbeville;Abbeville;Abbeville;Abbeville;;;X;
PROV112;Beauvais;Beauvais;Beauvais;Beauvais;Beauvais;Beauvais;Beauvais;Beauvais;;;X;
PROV113;Avranches;Avranches;Avranches;Avranches;Avranches;Avranches;Avranches;Avranches;;;X;
PROV114;Cherbourg;Cherbourg;Cherbourg;Cherbourg;Cherbourg;Cherbourg;Cherbourg;Cherbourg;;;X;
PROV115;Caen;Caen;Caen;Caen;Caen;Caen;Caen;Caen;;;X;
PROV116;Argentan;Argentan;Argentan;Argentan;Argentan;Argentan;Argentan;Argentan;;;X;
PROV117;Le Havre;Le Havre;Le Havre;Le Havre;Le Havre;Le Havre;Le Havre;Le Havre;;;X;
PROV118;Évreux;Évreux;Évreux;Évreux;Évreux;Évreux;Évreux;Évreux;;;X;
PROV119;Bayeux;Bayeux;Bayeux;Bayeux;Bayeux;Bayeux;Bayeux;Bayeux;;;X;
PROV120;Rouen;Rouen;Rouen;Rouen;Rouen;Rouen;Rouen;Rouen;;;X;
PROV121;Brest;Brest;Brest;Brest;Brest;Brest;Brest;Brest;;;X;
PROV122;Rennes;Rennes;Rennes;Rennes;Rennes;Rennes;Rennes;Rennes;;;X;
PROV123;Lorient;Lorient;Lorient;Lorient;Lorient;Lorient;Lorient;Lorient;;;X;
PROV124;Nantes;Nantes;Nantes;Nantes;Nantes;Nantes;Nantes;Nantes;;;X;
PROV125;Reze;Reze;Reze;Reze;Reze;Reze;Reze;Reze;;;X;
PROV126;Saint-Nazaire;Saint-Nazaire;Saint-Nazaire;Saint-Nazaire;Saint-Nazaire;Saint-Nazaire;Saint-Nazaire;Saint-Nazaire;;;X;
PROV127;Lannion;Lannion;Lannion;Lannion;Lannion;Lannion;Lannion;Lannion;;;X;
PROV128;Saint-Malo;Saint-Malo;Saint-Malo;Saint-Malo;Saint-Malo;Saint-Malo;Saint-Malo;Saint-Malo;;;X;
PROV129;Bar-le-Duc;Bar-le-Duc;Bar-le-Duc;Bar-le-Duc;Bar-le-Duc;Bar-le-Duc;Bar-le-Duc;Bar-le-Duc;;;X;
PROV130;Metz;Metz;Metz;Metz;Metz;Metz;Metz;Metz;;;X;
PROV131;Strasbourg;Strasbourg;Strasbourg;Strasbourg;Strasbourg;Strasbourg;Strasbourg;Strasbourg;;;X;
PROV132;Mulhouse;Mulhouse;Mulhouse;Mulhouse;Mulhouse;Mulhouse;Mulhouse;Mulhouse;;;X;
PROV133;Épinal;Épinal;Épinal;Épinal;Épinal;Épinal;Épinal;Épinal;;;X;
PROV134;Verdun;Verdun;Verdun;Verdun;Verdun;Verdun;Verdun;Verdun;;;X;
PROV135;Nancy;Nancy;Nancy;Nancy;Nancy;Nancy;Nancy;Nancy;;;X;
PROV136;Besançon;Besançon;Besançon;Besançon;Besançon;Besançon;Besançon;Besançon;;;X;
PROV137;Pontarlier;Pontarlier;Pontarlier;Pontarlier;Pontarlier;Pontarlier;Pontarlier;Pontarlier;;;X;
PROV138;Longwy;Longwy;Longwy;Longwy;Longwy;Longwy;Longwy;Longwy;;;X;
PROV139;Reims;Reims;Reims;Reims;Reims;Reims;Reims;Reims;;;X;
PROV140;Troyes;Troyes;Troyes;Troyes;Troyes;Troyes;Troyes;Troyes;;;X;
PROV141;Auxerre;Auxerre;Auxerre;Auxerre;Auxerre;Auxerre;Auxerre;Auxerre;;;X;
PROV142;Chaumont;Chaumont;Chaumont;Chaumont;Chaumont;Chaumont;Chaumont;Chaumont;;;X;
PROV143;Dijon;Dijon;Dijon;Dijon;Dijon;Dijon;Dijon;Dijon;;;X;
PROV144;Sens;Sens;Sens;Sens;Sens;Sens;Sens;Sens;;;X;
PROV145;Migennes;Migennes;Migennes;Migennes;Migennes;Migennes;Migennes;Migennes;;;X;
PROV146;Autun;Autun;Autun;Autun;Autun;Autun;Autun;Autun;;;X;
PROV147;Moulins;Moulins;Moulins;Moulins;Moulins;Moulins;Moulins;Moulins;;;X;
PROV148;Champlitte;Champlitte;Champlitte;Champlitte;Champlitte;Champlitte;Champlitte;Champlitte;;;X;
PROV149;Charleville-Mezieres;Charleville-Mezieres;Charleville-Mezieres;Charleville-Mezieres;Charleville-Mezieres;Charleville-Mezieres;Charleville-Mezieres;Charleville-Mezieres;;;X;
PROV150;Paris;Paris;Paris;Paris;Paris;Paris;Paris;Paris;;;X;
PROV151;Versailles;Versailles;Versailles;Versailles;Versailles;Versailles;Versailles;Versailles;;;X;
PROV152;Creteil;Creteil;Creteil;Creteil;Creteil;Creteil;Creteil;Creteil;;;X;
PROV153;Le Mans;Le Mans;Le Mans;Le Mans;Le Mans;Le Mans;Le Mans;Le Mans;;;X;
PROV154;Chartres;Chartres;Chartres;Chartres;Chartres;Chartres;Chartres;Chartres;;;X;
PROV155;Tours;Tours;Tours;Tours;Tours;Tours;Tours;Tours;;;X;
PROV156;Poitiers;Poitiers;Poitiers;Poitiers;Poitiers;Poitiers;Poitiers;Poitiers;;;X;
PROV157;Bourges;Bourges;Bourges;Bourges;Bourges;Bourges;Bourges;Bourges;;;X;
PROV158;Orléans;Orléans;Orléans;Orléans;Orléans;Orléans;Orléans;Orléans;;;X;
PROV159;La Roche-sur-Yon;La Roche-sur-Yon;La Roche-sur-Yon;La Roche-sur-Yon;La Roche-sur-Yon;La Roche-sur-Yon;La Roche-sur-Yon;La Roche-sur-Yon;;;X;
PROV160;Cholet;Cholet;Cholet;Cholet;Cholet;Cholet;Cholet;Cholet;;;X;
PROV161;Laval;Laval;Laval;Laval;Laval;Laval;Laval;Laval;;;X;
PROV162;Angers;Angers;Angers;Angers;Angers;Angers;Angers;Angers;;;X;
PROV163;Blois;Blois;Blois;Blois;Blois;Blois;Blois;Blois;;;X;
PROV164;Saint-Étienne;Saint-Étienne;Saint-Étienne;Saint-Étienne;Saint-Étienne;Saint-Étienne;Saint-Étienne;Saint-Étienne;;;X;
PROV165;Marseille;Marseille;Marseille;Marseille;Marseille;Marseille;Marseille;Marseille;;;X;
PROV166;Toulon;Toulon;Toulon;Toulon;Toulon;Toulon;Toulon;Toulon;;;X;
PROV167;Nice;Nice;Nice;Nice;Nice;Nice;Nice;Nice;;;X;
PROV168;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;;;X;
PROV169;Avignon;Avignon;Avignon;Avignon;Avignon;Avignon;Avignon;Avignon;;;X;
PROV170;Lyon;Lyon;Lyon;Lyon;Lyon;Lyon;Lyon;Lyon;;;X;
PROV171;Bourg-en-Bresse;Bourg-en-Bresse;Bourg-en-Bresse;Bourg-en-Bresse;Bourg-en-Bresse;Bourg-en-Bresse;Bourg-en-Bresse;Bourg-en-Bresse;;;X;
PROV172;Annecy;Annecy;Annecy;Annecy;Annecy;Annecy;Annecy;Annecy;;;X;
PROV173;Monaco;Monaco;Monaco;Monaco;Monaco;Monaco;Monaco;Monaco;;;X;
PROV174;Valence;Valence;Valence;Valence;Valence;Valence;Valence;Valence;;;X;
PROV175;Digne-les-Bains;Digne-les-Bains;Digne-les-Bains;Digne-les-Bains;Digne-les-Bains;Digne-les-Bains;Digne-les-Bains;Digne-les-Bains;;;X;
PROV176;Gap;Gap;Gap;Gap;Gap;Gap;Gap;Gap;;;X;
PROV177;Roanne;Roanne;Roanne;Roanne;Roanne;Roanne;Roanne;Roanne;;;X;
PROV178;Chambery;Chambery;Chambery;Chambery;Chambery;Chambery;Chambery;Chambery;;;X;
PROV179;Oyonnax;Oyonnax;Oyonnax;Oyonnax;Oyonnax;Oyonnax;Oyonnax;Oyonnax;;;X;
PROV180;Privas;Privas;Privas;Privas;Privas;Privas;Privas;Privas;;;X;
PROV181;Châteauroux;Châteauroux;Châteauroux;Châteauroux;Châteauroux;Châteauroux;Châteauroux;Châteauroux;;;X;
PROV182;Limoges;Limoges;Limoges;Limoges;Limoges;Limoges;Limoges;Limoges;;;X;
PROV183;Périgueux;Périgueux;Périgueux;Périgueux;Périgueux;Périgueux;Périgueux;Périgueux;;;X;
PROV184;Vichy;Vichy;Vichy;Vichy;Vichy;Vichy;Vichy;Vichy;;;X;
PROV185;Clermont-Ferrand;Clermont-Ferrand;Clermont-Ferrand;Clermont-Ferrand;Clermont-Ferrand;Clermont-Ferrand;Clermont-Ferrand;Clermont-Ferrand;;;X;
PROV186;Aurillac;Aurillac;Aurillac;Aurillac;Aurillac;Aurillac;Aurillac;Aurillac;;;X;
PROV187;Le-Puy-en-Velay;Le-Puy-en-Velay;Le-Puy-en-Velay;Le-Puy-en-Velay;Le-Puy-en-Velay;Le-Puy-en-Velay;Le-Puy-en-Velay;Le-Puy-en-Velay;;;X;
PROV188;Montlucon;Montlucon;Montlucon;Montlucon;Montlucon;Montlucon;Montlucon;Montlucon;;;X;
PROV189;Saint-Amand-Montrond;Saint-Amand-Montrond;Saint-Amand-Montrond;Saint-Amand-Montrond;Saint-Amand-Montrond;Saint-Amand-Montrond;Saint-Amand-Montrond;Saint-Amand-Montrond;;;X;
PROV190;Brive-la-Gaillarde;Brive-la-Gaillarde;Brive-la-Gaillarde;Brive-la-Gaillarde;Brive-la-Gaillarde;Brive-la-Gaillarde;Brive-la-Gaillarde;Brive-la-Gaillarde;;;X;
PROV191;Bordeaux;Bordeaux;Bordeaux;Bordeaux;Bordeaux;Bordeaux;Bordeaux;Bordeaux;;;X;
PROV192;La Rochelle;La Rochelle;La Rochelle;La Rochelle;La Rochelle;La Rochelle;La Rochelle;La Rochelle;;;X;
PROV193;Mont-de-Marsan;Mont-de-Marsan;Mont-de-Marsan;Mont-de-Marsan;Mont-de-Marsan;Mont-de-Marsan;Mont-de-Marsan;Mont-de-Marsan;;;X;
PROV194;Bayonne;Bayonne;Bayonne;Bayonne;Bayonne;Bayonne;Bayonne;Bayonne;;;X;
PROV195;Angouleme;Angouleme;Angouleme;Angouleme;Angouleme;Angouleme;Angouleme;Angouleme;;;X;
PROV196;Niort;Niort;Niort;Niort;Niort;Niort;Niort;Niort;;;X;
PROV197;Libourne;Libourne;Libourne;Libourne;Libourne;Libourne;Libourne;Libourne;;;X;
PROV198;Riberac;Riberac;Riberac;Riberac;Riberac;Riberac;Riberac;Riberac;;;X;
PROV199;Montauban;Montauban;Montauban;Montauban;Montauban;Montauban;Montauban;Montauban;;;X;
PROV200;Auch;Auch;Auch;Auch;Auch;Auch;Auch;Auch;;;X;
PROV201;Foix;Foix;Foix;Foix;Foix;Foix;Foix;Foix;;;X;
PROV202;Perpignan;Perpignan;Perpignan;Perpignan;Perpignan;Perpignan;Perpignan;Perpignan;;;X;
PROV203;Toulouse;Toulouse;Toulouse;Toulouse;Toulouse;Toulouse;Toulouse;Toulouse;;;X;
PROV204;Montpellier;Montpellier;Montpellier;Montpellier;Montpellier;Montpellier;Montpellier;Montpellier;;;X;
PROV205;Nîmes;Nîmes;Nîmes;Nîmes;Nîmes;Nîmes;Nîmes;Nîmes;;;X;
PROV206;Pau;Pau;Pau;Pau;Pau;Pau;Pau;Pau;;;X;
PROV207;Mende;Mende;Mende;Mende;Mende;Mende;Mende;Mende;;;X;
PROV208;Albi;Albi;Albi;Albi;Albi;Albi;Albi;Albi;;;X;
PROV209;Carcassonne;Carcassonne;Carcassonne;Carcassonne;Carcassonne;Carcassonne;Carcassonne;Carcassonne;;;X;
PROV210;Tarbes;Tarbes;Tarbes;Tarbes;Tarbes;Tarbes;Tarbes;Tarbes;;;X;
PROV211;Colomiers;Colomiers;Colomiers;Colomiers;Colomiers;Colomiers;Colomiers;Colomiers;;;X;
PROV212;Agen;Agen;Agen;Agen;Agen;Agen;Agen;Agen;;;X;
PROV213;Cahors;Cahors;Cahors;Cahors;Cahors;Cahors;Cahors;Cahors;;;X;
PROV214;Rodez;Rodez;Rodez;Rodez;Rodez;Rodez;Rodez;Rodez;;;X;
PROV215;Ajaccio;Ajaccio;Ajaccio;Ajaccio;Ajaccio;Ajaccio;Ajaccio;Ajaccio;;;X;
PROV216;Bastia;Bastia;Bastia;Bastia;Bastia;Bastia;Bastia;Bastia;;;X;
PROV217;Palma de Mallorca;Palma de Mallorca;Palma de Mallorca;Palma de Mallorca;Palma de Mallorca;Palma de Mallorca;Palma de Mallorca;Palma de Mallorca;;;X;
PROV218;Mahón;Mahón;Mahón;Mahón;Mahón;Mahón;Mahón;Mahón;;;X;
PROV219;Ibiza;Ibiza;Ibiza;Ibiza;Ibiza;Ibiza;Ibiza;Ibiza;;;X;
PROV220;Huesca;Huesca;Huesca;Huesca;Huesca;Huesca;Huesca;Huesca;;;X;
PROV221;Zaragoza;Zaragoza;Zaragoza;Zaragoza;Zaragoza;Zaragoza;Zaragoza;Zaragoza;;;X;
PROV222;Bilbao;Bilbao;Bilbao;Bilbao;Bilbao;Bilbao;Bilbao;Bilbao;;;X;
PROV223;Teruel;Teruel;Teruel;Teruel;Teruel;Teruel;Teruel;Teruel;;;X;
PROV224;Pamplona;Pamplona;Pamplona;Pamplona;Pamplona;Pamplona;Pamplona;Pamplona;;;X;
PROV225;Vitoria;Vitoria;Vitoria;Vitoria;Vitoria;Vitoria;Vitoria;Vitoria;;;X;
PROV226;Tudela;Tudela;Tudela;Tudela;Tudela;Tudela;Tudela;Tudela;;;X;
PROV227;Jaca;Jaca;Jaca;Jaca;Jaca;Jaca;Jaca;Jaca;;;X;
PROV228;Alcaniz;Alcaniz;Alcaniz;Alcaniz;Alcaniz;Alcaniz;Alcaniz;Alcaniz;;;X;
PROV229;Maella;Maella;Maella;Maella;Maella;Maella;Maella;Maella;;;X;
PROV230;Fraga;Fraga;Fraga;Fraga;Fraga;Fraga;Fraga;Fraga;;;X;
PROV231;Monzón;Monzón;Monzón;Monzón;Monzón;Monzón;Monzón;Monzón;;;X;
PROV232;San Sebastian;San Sebastian;San Sebastian;San Sebastian;San Sebastian;San Sebastian;San Sebastian;San Sebastian;;;X;
PROV233;Oviedo;Oviedo;Oviedo;Oviedo;Oviedo;Oviedo;Oviedo;Oviedo;;;X;
PROV234;La Coruña;La Coruña;La Coruña;La Coruña;La Coruña;La Coruña;La Coruña;La Coruña;;;X;
PROV235;Vigo;Vigo;Vigo;Vigo;Vigo;Vigo;Vigo;Vigo;;;X;
PROV236;Santander;Santander;Santander;Santander;Santander;Santander;Santander;Santander;;;X;
PROV237;Lugo;Lugo;Lugo;Lugo;Lugo;Lugo;Lugo;Lugo;;;X;
PROV238;Orense;Orense;Orense;Orense;Orense;Orense;Orense;Orense;;;X;
