##;ENG;FRA;ITA;SPA;GER;POL;;;;;X;
PROV0;(Embarked);(Embarked);(Embarked);(Embarcado/s);(Embarked);(Embarked);(Embarked);(Embarked);;;x;
PROV15;Cardiff;Cardiff;Cardiff;Cardiff;Cardiff;Cardiff;Cardiff;Cardiff;;;X;
PROV16;Oxford;Oxford;Oxford;Oxford;Oxford;Oxford;Oxford;Oxford;;;X;
PROV17;Norwich;Norwich;Norwich;Norwich;Norwich;Norwich;Norwich;Norwich;;;X;
PROV18;Calais;Calais;Calais;Calais;Calais;Calais;Calais;Calais;;;X;
PROV19;London;London;London;London;London;London;London;London;;;X;
PROV20;Dover;Dover;Dover;Dover;Dover;Dover;Dover;Dover;;;X;
PROV21;Portsmouth;Portsmouth;Portsmouth;Portsmouth;Portsmouth;Portsmouth;Portsmouth;Portsmouth;;;X;
PROV22;Bristol;Bristol;Bristol;Bristol;Bristol;Bristol;Bristol;Bristol;;;X;
PROV23;Plymouth;Plymouth;Plymouth;Plymouth;Plymouth;Plymouth;Plymouth;Plymouth;;;X;
PROV24;Bre;Bre;Bre;Bre;Bre;Bre;Bre;Bre;;;X;
PROV25;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;;;X;
PROV26;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;;;X;
PROV27;Leitir Ceanainn;Leitir Ceanainn;Leitir Ceanainn;Leitir Ceanainn;Leitir Ceanainn;Leitir Ceanainn;Leitir Ceanainn;Leitir Ceanainn;;;X;
PROV28;Belfast;Belfast;Belfast;Belfast;Belfast;Belfast;Belfast;Belfast;;;X;
PROV29;Londonderry;Londonderry;Londonderry;Londonderry;Londonderry;Londonderry;Londonderry;Londonderry;;;X;
PROV30;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;;;X;
PROV31;Il-Belt Valletta;Il-Belt Valletta;Il-Belt Valletta;Il-Belt Valletta;Il-Belt Valletta;Il-Belt Valletta;Il-Belt Valletta;Il-Belt Valletta;;;X;
PROV32;Brest;Brest;Brest;Brest;Brest;Brest;Brest;Brest;;;X;
PROV33;Rennes;Rennes;Rennes;Rennes;Rennes;Rennes;Rennes;Rennes;;;X;
PROV34;Lorient;Lorient;Lorient;Lorient;Lorient;Lorient;Lorient;Lorient;;;X;
PROV35;Nantes;Nantes;Nantes;Nantes;Nantes;Nantes;Nantes;Nantes;;;X;
PROV36;Le Mans;Le Mans;Le Mans;Le Mans;Le Mans;Le Mans;Le Mans;Le Mans;;;X;
PROV37;Avranches;Avranches;Avranches;Avranches;Avranches;Avranches;Avranches;Avranches;;;X;
PROV38;Cherbourg;Cherbourg;Cherbourg;Cherbourg;Cherbourg;Cherbourg;Cherbourg;Cherbourg;;;X;
PROV39;Caen;Caen;Caen;Caen;Caen;Caen;Caen;Caen;;;X;
PROV40;Argentan;Argentan;Argentan;Argentan;Argentan;Argentan;Argentan;Argentan;;;X;
PROV41;Le Havre;Le Havre;Le Havre;Le Havre;Le Havre;Le Havre;Le Havre;Le Havre;;;X;
PROV42;Amiens;Amiens;Amiens;Amiens;Amiens;Amiens;Amiens;Amiens;;;X;
PROV43;Dunkerque;Dunkerque;Dunkerque;Dunkerque;Dunkerque;Dunkerque;Dunkerque;Dunkerque;;;X;
PROV44;Lille;Lille;Lille;Lille;Lille;Lille;Lille;Lille;;;X;
PROV45;Brugge;Brugge;Brugge;Brugge;Brugge;Brugge;Brugge;Brugge;;;X;
PROV46;Rotterdam;Rotterdam;Rotterdam;Rotterdam;Rotterdam;Rotterdam;Rotterdam;Rotterdam;;;X;
PROV47;Amsterdam;Amsterdam;Amsterdam;Amsterdam;Amsterdam;Amsterdam;Amsterdam;Amsterdam;;;X;
PROV48;Middelburg;Middelburg;Middelburg;Middelburg;Middelburg;Middelburg;Middelburg;Middelburg;;;X;
PROV49;Eindhoven;Eindhoven;Eindhoven;Eindhoven;Eindhoven;Eindhoven;Eindhoven;Eindhoven;;;X;
PROV50;Antwerpen;Antwerpen;Antwerpen;Antwerpen;Antwerpen;Antwerpen;Antwerpen;Antwerpen;;;X;
PROV51;Brussel;Brussel;Brussel;Brussel;Brussel;Brussel;Brussel;Brussel;;;X;
PROV52;Mons;Mons;Mons;Mons;Mons;Mons;Mons;Mons;;;X;
PROV53;Prachatice;Prachatice;Prachatice;Prachatice;Prachatice;Prachatice;Prachatice;Prachatice;;;X;
PROV54;Compiegne;Compiegne;Compiegne;Compiegne;Compiegne;Compiegne;Compiegne;Compiegne;;;X;
PROV55;Reims;Reims;Reims;Reims;Reims;Reims;Reims;Reims;;;X;
PROV56;Paris;Paris;Paris;Paris;Paris;Paris;Paris;Paris;;;X;
PROV57;Chartres;Chartres;Chartres;Chartres;Chartres;Chartres;Chartres;Chartres;;;X;
PROV58;Tours;Tours;Tours;Tours;Tours;Tours;Tours;Tours;;;X;
PROV59;Bordeaux;Bordeaux;Bordeaux;Bordeaux;Bordeaux;Bordeaux;Bordeaux;Bordeaux;;;X;
PROV60;Poitiers;Poitiers;Poitiers;Poitiers;Poitiers;Poitiers;Poitiers;Poitiers;;;X;
PROV61;Bourges;Bourges;Bourges;Bourges;Bourges;Bourges;Bourges;Bourges;;;X;
PROV62;Orléans;Orléans;Orléans;Orléans;Orléans;Orléans;Orléans;Orléans;;;X;
PROV63;Troyes;Troyes;Troyes;Troyes;Troyes;Troyes;Troyes;Troyes;;;X;
PROV64;Bar-le-Duc;Bar-le-Duc;Bar-le-Duc;Bar-le-Duc;Bar-le-Duc;Bar-le-Duc;Bar-le-Duc;Bar-le-Duc;;;X;
PROV65;Namur;Namur;Namur;Namur;Namur;Namur;Namur;Namur;;;X;
PROV66;Aachen;Aachen;Aachen;Aachen;Aachen;Aachen;Aachen;Aachen;;;X;
PROV67;Essen;Essen;Essen;Essen;Essen;Essen;Essen;Essen;;;X;
PROV68;Liège;Liège;Liège;Liège;Liège;Liège;Liège;Liège;;;X;
PROV69;Hasselt;Hasselt;Hasselt;Hasselt;Hasselt;Hasselt;Hasselt;Hasselt;;;X;
PROV70;Arlon;Arlon;Arlon;Arlon;Arlon;Arlon;Arlon;Arlon;;;X;
PROV71;Lëtzebuerg;Lëtzebuerg;Lëtzebuerg;Lëtzebuerg;Lëtzebuerg;Lëtzebuerg;Lëtzebuerg;Lëtzebuerg;;;X;
PROV72;Metz;Metz;Metz;Metz;Metz;Metz;Metz;Metz;;;X;
PROV73;Strasbourg;Strasbourg;Strasbourg;Strasbourg;Strasbourg;Strasbourg;Strasbourg;Strasbourg;;;X;
PROV74;Saarbrücken;Saarbrücken;Saarbrücken;Saarbrücken;Saarbrücken;Saarbrücken;Saarbrücken;Saarbrücken;;;X;
PROV75;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;;;X;
PROV76;Düsseldorf;Düsseldorf;Düsseldorf;Düsseldorf;Düsseldorf;Düsseldorf;Düsseldorf;Düsseldorf;;;X;
PROV77;Arnhem;Arnhem;Arnhem;Arnhem;Arnhem;Arnhem;Arnhem;Arnhem;;;X;
PROV78;Groningen;Groningen;Groningen;Groningen;Groningen;Groningen;Groningen;Groningen;;;X;
PROV79;Enschede;Enschede;Enschede;Enschede;Enschede;Enschede;Enschede;Enschede;;;X;
PROV80;Emden;Emden;Emden;Emden;Emden;Emden;Emden;Emden;;;X;
PROV81;Münster;Münster;Münster;Münster;Münster;Münster;Münster;Münster;;;X;
PROV82;Kassel;Kassel;Kassel;Kassel;Kassel;Kassel;Kassel;Kassel;;;X;
PROV83;Bayreuth;Bayreuth;Bayreuth;Bayreuth;Bayreuth;Bayreuth;Bayreuth;Bayreuth;;;X;
PROV84;Suhl;Suhl;Suhl;Suhl;Suhl;Suhl;Suhl;Suhl;;;X;
PROV85;Landshut;Landshut;Landshut;Landshut;Landshut;Landshut;Landshut;Landshut;;;X;
PROV86;Hannover;Hannover;Hannover;Hannover;Hannover;Hannover;Hannover;Hannover;;;X;
PROV87;Bremen;Bremen;Bremen;Bremen;Bremen;Bremen;Bremen;Bremen;;;X;
PROV88;Hamburg;Hamburg;Hamburg;Hamburg;Hamburg;Hamburg;Hamburg;Hamburg;;;X;
PROV89;Lübeck;Lübeck;Lübeck;Lübeck;Lübeck;Lübeck;Lübeck;Lübeck;;;X;
PROV90;Kiel;Kiel;Kiel;Kiel;Kiel;Kiel;Kiel;Kiel;;;X;
PROV91;Åbenrå;Åbenrå;Åbenrå;Åbenrå;Åbenrå;Åbenrå;Åbenrå;Åbenrå;;;X;
PROV92;Aalborg;Aalborg;Aalborg;Aalborg;Aalborg;Aalborg;Aalborg;Aalborg;;;X;
PROV93;Malmö;Malmö;Malmö;Malmö;Malmö;Malmö;Malmö;Malmö;;;X;
PROV94;Podol'sk;Podol'sk;Podol'sk;Podol'sk;Podol'sk;Podol'sk;Podol'sk;Podol'sk;;;X;
PROV95;Molodeczno;Molodeczno;Molodeczno;Molodeczno;Molodeczno;Mo³odeczno;Molodeczno;Molodeczno;;;X;
PROV96;Visby;Visby;Visby;Visby;Visby;Visby;Visby;Visby;;;X;
PROV97;Kalmar;Kalmar;Kalmar;Kalmar;Kalmar;Kalmar;Kalmar;Kalmar;;;X;
PROV98;Göteborg;Göteborg;Göteborg;Göteborg;Göteborg;Göteborg;Göteborg;Göteborg;;;X;
PROV99;Skövde;Skövde;Skövde;Skövde;Skövde;Skövde;Skövde;Skövde;;;X;
PROV100;Linköping;Linköping;Linköping;Linköping;Linköping;Linköping;Linköping;Linköping;;;X;
PROV101;Stockholm;Stockholm;Stockholm;Stockholm;Stockholm;Stockholm;Stockholm;Stockholm;;;X;
PROV102;Wolkowysk;Wolkowysk;Wolkowysk;Wolkowysk;Wolkowysk;Wo³kowysk;Wolkowysk;Wolkowysk;;;X;
PROV103;Maarianhamina;Maarianhamina;Maarianhamina;Maarianhamina;Maarianhamina;Maarianhamina;Maarianhamina;Maarianhamina;;;X;
PROV104;Fredrikstad;Fredrikstad;Fredrikstad;Fredrikstad;Fredrikstad;Fredrikstad;Fredrikstad;Fredrikstad;;;X;
PROV105;Örebro;Örebro;Örebro;Örebro;Örebro;Örebro;Örebro;Örebro;;;X;
PROV106;Karlstad;Karlstad;Karlstad;Karlstad;Karlstad;Karlstad;Karlstad;Karlstad;;;X;
PROV107;Oslo;Oslo;Oslo;Oslo;Oslo;Oslo;Oslo;Oslo;;;X;
PROV108;Kristiansand;Kristiansand;Kristiansand;Kristiansand;Kristiansand;Kristiansand;Kristiansand;Kristiansand;;;X;
PROV109;Stavanger;Stavanger;Stavanger;Stavanger;Stavanger;Stavanger;Stavanger;Stavanger;;;X;
PROV110;Leikanger;Leikanger;Leikanger;Leikanger;Leikanger;Leikanger;Leikanger;Leikanger;;;X;
PROV111;Hamar;Hamar;Hamar;Hamar;Hamar;Hamar;Hamar;Hamar;;;X;
PROV112;Drammen;Drammen;Drammen;Drammen;Drammen;Drammen;Drammen;Drammen;;;X;
PROV113;Gävle;Gävle;Gävle;Gävle;Gävle;Gävle;Gävle;Gävle;;;X;
PROV114;Arendal;Arendal;Arendal;Arendal;Arendal;Arendal;Arendal;Arendal;;;X;
PROV115;Falun;Falun;Falun;Falun;Falun;Falun;Falun;Falun;;;X;
PROV116;Lillehammer;Lillehammer;Lillehammer;Lillehammer;Lillehammer;Lillehammer;Lillehammer;Lillehammer;;;X;
PROV117;Molde;Molde;Molde;Molde;Molde;Molde;Molde;Molde;;;X;
PROV118;Trondheim;Trondheim;Trondheim;Trondheim;Trondheim;Trondheim;Trondheim;Trondheim;;;X;
PROV119;Sundsvall;Sundsvall;Sundsvall;Sundsvall;Sundsvall;Sundsvall;Sundsvall;Sundsvall;;;X;
PROV120;Århus;Århus;Århus;Århus;Århus;Århus;Århus;Århus;;;X;
PROV121;Umeå;Umeå;Umeå;Umeå;Umeå;Umeå;Umeå;Umeå;;;X;
PROV122;Esbjerg;Esbjerg;Esbjerg;Esbjerg;Esbjerg;Esbjerg;Esbjerg;Esbjerg;;;X;
PROV123;Terijoki;Terijoki;Terijoki;Terijoki;Terijoki;Terijoki;Terijoki;Terijoki;;;X;
PROV124;Bodo;Bodo;Bodo;Bodo;Bodo;Bodo;Bodo;Bodo;;;X;
PROV125;Tromso;Tromso;Tromso;Tromso;Tromso;Tromso;Tromso;Tromso;;;X;
PROV126;Kiruna;Kiruna;Kiruna;Kiruna;Kiruna;Kiruna;Kiruna;Kiruna;;;X;
PROV127;Luleå;Luleå;Luleå;Luleå;Luleå;Luleå;Luleå;Luleå;;;X;
PROV128;Alta;Alta;Alta;Alta;Alta;Alta;Alta;Alta;;;X;
PROV129;Bergen;Bergen;Bergen;Bergen;Bergen;Bergen;Bergen;Bergen;;;X;
PROV130;Rovaniemi;Rovaniemi;Rovaniemi;Rovaniemi;Rovaniemi;Rovaniemi;Rovaniemi;Rovaniemi;;;X;
PROV131;Kemi;Kemi;Kemi;Kemi;Kemi;Kemi;Kemi;Kemi;;;X;
PROV132;Petsamo;Petsamo;Petsamo;Petsamo;Petsamo;Petsamo;Petsamo;Petsamo;;;X;
PROV133;Murmansk;Murmansk;Murmansk;Murmansk;Murmansk;Murmansk;Murmansk;Murmansk;;;X;
PROV134;Jokanga;Jokanga;Jokanga;Jokanga;Jokanga;Jokanga;Jokanga;Jokanga;;;X;
PROV135;Kandalaksa;Kandalaksa;Kandalaksa;Kandalaksa;Kandalaksa;Kandalaksa;Kandalaksa;Kandalaksa;;;X;
PROV136;Kajaani;Kajaani;Kajaani;Kajaani;Kajaani;Kajaani;Kajaani;Kajaani;;;X;
PROV137;Oulu;Oulu;Oulu;Oulu;Oulu;Oulu;Oulu;Oulu;;;X;
PROV138;Vaasa;Vaasa;Vaasa;Vaasa;Vaasa;Vaasa;Vaasa;Vaasa;;;X;
PROV139;Tampere;Tampere;Tampere;Tampere;Tampere;Tampere;Tampere;Tampere;;;X;
PROV140;Pori;Pori;Pori;Pori;Pori;Pori;Pori;Pori;;;X;
PROV141;Turku;Turku;Turku;Turku;Turku;Turku;Turku;Turku;;;X;
PROV142;Helsinki;Helsinki;Helsinki;Helsinki;Helsinki;Helsinki;Helsinki;Helsinki;;;X;
PROV143;Kuolajärvi;Kuolajärvi;Kuolajärvi;Kuolajärvi;Kuolajärvi;Kuolajärvi;Kuolajärvi;Kuolajärvi;;;X;
PROV144;Lappenranta;Lappenranta;Lappenranta;Lappenranta;Lappenranta;Lappenranta;Lappenranta;Lappenranta;;;X;
PROV145;Viipuri;Viipuri;Viipuri;Viipuri;Viipuri;Viipuri;Viipuri;Viipuri;;;X;
PROV146;Sortavala;Sortavala;Sortavala;Sortavala;Sortavala;Sortavala;Sortavala;Sortavala;;;X;
PROV147;Kuopio;Kuopio;Kuopio;Kuopio;Kuopio;Kuopio;Kuopio;Kuopio;;;X;
PROV148;Lahti;Lahti;Lahti;Lahti;Lahti;Lahti;Lahti;Lahti;;;X;
PROV149;Joensuu;Joensuu;Joensuu;Joensuu;Joensuu;Joensuu;Joensuu;Joensuu;;;X;
PROV150;Kem';Kem';Kem';Kem';Kem';Kem';Kem';Kem';;;X;
PROV151;Segeza;Segeza;Segeza;Segeza;Segeza;Segeza;Segeza;Segeza;;;X;
PROV152;Petrozavodsk;Petrozavodsk;Petrozavodsk;Petrozavodsk;Petrozavodsk;Petrozavodsk;Petrozavodsk;Petrozavodsk;;;X;
PROV153;Kirillov;Kirillov;Kirillov;Kirillov;Kirillov;Kirillov;Kirillov;Kirillov;;;X;
PROV154;Arhangel'sk;Arhangel'sk;Arhangel'sk;Arhangel'sk;Arhangel'sk;Arhangel'sk;Arhangel'sk;Arhangel'sk;;;X;
PROV155;Simferopol';Simferopol';Simferopol';Simferopol';Simferopol';Simferopol';Simferopol';Simferopol';;;X;
PROV156;Tambov;Tambov;Tambov;Tambov;Tambov;Tambov;Tambov;Tambov;;;X;
PROV157;Borisoglebsk;Borisoglebsk;Borisoglebsk;Borisoglebsk;Borisoglebsk;Borisoglebsk;Borisoglebsk;Borisoglebsk;;;X;
PROV158;Ul'janovsk;Ul'janovsk;Ul'janovsk;Ul'janovsk;Ul'janovsk;Ul'janovsk;Ul'janovsk;Ul'janovsk;;;X;
PROV159;Surovikino;Surovikino;Surovikino;Surovikino;Surovikino;Surovikino;Surovikino;Surovikino;;;X;
PROV160;Urjupinsk;Urjupinsk;Urjupinsk;Urjupinsk;Urjupinsk;Urjupinsk;Urjupinsk;Urjupinsk;;;X;
PROV161;Kam'ânec'-Podil's'kij;Kam'ânec'-Podil's'kij;Kam'ânec'-Podil's'kij;Kam'ânec'-Podil's'kij;Kam'ânec'-Podil's'kij;Kam'ânec'-Podil's'kij;Kam'ânec'-Podil's'kij;Kam'ânec'-Podil's'kij;;;X;
PROV162;Majkop;Majkop;Majkop;Majkop;Majkop;Majkop;Majkop;Majkop;;;X;
PROV163;Stalingrad;Stalingrad;Stalingrad;Stalingrad;Stalingrad;Stalingrad;Stalingrad;Stalingrad;;;X;
PROV164;Frolovo;Frolovo;Frolovo;Frolovo;Frolovo;Frolovo;Frolovo;Frolovo;;;X;
PROV165;Tot'ma;Tot'ma;Tot'ma;Tot'ma;Tot'ma;Tot'ma;Tot'ma;Tot'ma;;;X;
PROV166;Gor'kij;Gor'kij;Gor'kij;Gor'kij;Gor'kij;Gor'kij;Gor'kij;Gor'kij;;;X;
PROV167;Ivanovo;Ivanovo;Ivanovo;Ivanovo;Ivanovo;Ivanovo;Ivanovo;Ivanovo;;;X;
PROV168;Arzamas;Arzamas;Arzamas;Arzamas;Arzamas;Arzamas;Arzamas;Arzamas;;;X;
PROV169;Sasovo;Sasovo;Sasovo;Sasovo;Sasovo;Sasovo;Sasovo;Sasovo;;;X;
PROV170;Rybinsk;Rybinsk;Rybinsk;Rybinsk;Rybinsk;Rybinsk;Rybinsk;Rybinsk;;;X;
PROV171;Volodga;Volodga;Volodga;Volodga;Volodga;Volodga;Volodga;Volodga;;;X;
PROV172;Vytegra;Vytegra;Vytegra;Vytegra;Vytegra;Vytegra;Vytegra;Vytegra;;;X;
PROV173;Kimry;Kimry;Kimry;Kimry;Kimry;Kimry;Kimry;Kimry;;;X;
PROV174;Kalinin;Kalinin;Kalinin;Kalinin;Kalinin;Kalinin;Kalinin;Kalinin;;;X;
PROV175;Moskva;Moskva;Moskva;Moskva;Moskva;Moskva;Moskva;Moskva;;;X;
PROV176;Lobnja;Lobnja;Lobnja;Lobnja;Lobnja;Lobnja;Lobnja;Lobnja;;;X;
PROV177;Jaroslavl';Jaroslavl';Jaroslavl';Jaroslavl';Jaroslavl';Jaroslavl';Jaroslavl';Jaroslavl';;;X;
PROV178;Vladimir;Vladimir;Vladimir;Vladimir;Vladimir;Vladimir;Vladimir;Vladimir;;;X;
PROV179;Murom;Murom;Murom;Murom;Murom;Murom;Murom;Murom;;;X;
PROV180;Orehovo-Zuevo;Orehovo-Zuevo;Orehovo-Zuevo;Orehovo-Zuevo;Orehovo-Zuevo;Orehovo-Zuevo;Orehovo-Zuevo;Orehovo-Zuevo;;;X;
PROV181;Ljudinovo;Ljudinovo;Ljudinovo;Ljudinovo;Ljudinovo;Ljudinovo;Ljudinovo;Ljudinovo;;;X;
PROV182;Vjaz'ma;Vjaz'ma;Vjaz'ma;Vjaz'ma;Vjaz'ma;Vjaz'ma;Vjaz'ma;Vjaz'ma;;;X;
PROV183;Kesten'ga;Kesten'ga;Kesten'ga;Kesten'ga;Kesten'ga;Kesten'ga;Kesten'ga;Kesten'ga;;;X;
PROV184;Soroka;Soroka;Soroka;Soroka;Soroka;Soroka;Soroka;Soroka;;;X;
PROV185;Tihvin;Tihvin;Tihvin;Tihvin;Tihvin;Tihvin;Tihvin;Tihvin;;;X;
PROV186;Krasnogvardejsk;Krasnogvardejsk;Krasnogvardejsk;Krasnogvardejsk;Krasnogvardejsk;Krasnogvardejsk;Krasnogvardejsk;Krasnogvardejsk;;;X;
PROV187;Leningrad;Leningrad;Leningrad;Leningrad;Leningrad;Leningrad;Leningrad;Leningrad;;;X;
PROV188;Kingisepp;Kingisepp;Kingisepp;Kingisepp;Kingisepp;Kingisepp;Kingisepp;Kingisepp;;;X;
PROV189;Kirisi;Kirisi;Kirisi;Kirisi;Kirisi;Kirisi;Kirisi;Kirisi;;;X;
PROV190;Borovici;Borovici;Borovici;Borovici;Borovici;Borovici;Borovici;Borovici;;;X;
PROV191;Staraja Russa;Staraja Russa;Staraja Russa;Staraja Russa;Staraja Russa;Staraja Russa;Staraja Russa;Staraja Russa;;;X;
PROV192;Gdov;Gdov;Gdov;Gdov;Gdov;Gdov;Gdov;Gdov;;;X;
PROV193;Narva;Narva;Narva;Narva;Narva;Narva;Narva;Narva;;;X;
PROV194;Tallinn;Tallinn;Tallinn;Tallinn;Tallinn;Tallinn;Tallinn;Tallinn;;;X;
PROV195;Kuressaare;Kuressaare;Kuressaare;Kuressaare;Kuressaare;Kuressaare;Kuressaare;Kuressaare;;;X;
PROV196;Pärnu;Pärnu;Pärnu;Pärnu;Pärnu;Pärnu;Pärnu;Pärnu;;;X;
PROV197;Riga;Riga;Riga;Riga;Riga;Riga;Riga;Riga;;;X;
PROV198;Valmiera;Valmiera;Valmiera;Valmiera;Valmiera;Valmiera;Valmiera;Valmiera;;;X;
PROV199;Tartu;Tartu;Tartu;Tartu;Tartu;Tartu;Tartu;Tartu;;;X;
PROV200;Novgorod;Novgorod;Novgorod;Novgorod;Novgorod;Novgorod;Novgorod;Novgorod;;;X;
PROV201;Pskov;Pskov;Pskov;Pskov;Pskov;Pskov;Pskov;Pskov;;;X;
PROV202;Daugavpils;Daugavpils;Daugavpils;Daugavpils;Daugavpils;Daugavpils;Daugavpils;Daugavpils;;;X;
PROV203;Jekabpils;Jekabpils;Jekabpils;Jekabpils;Jekabpils;Jekabpils;Jekabpils;Jekabpils;;;X;
PROV204;Jelgava;Jelgava;Jelgava;Jelgava;Jelgava;Jelgava;Jelgava;Jelgava;;;X;
PROV205;Liepaja;Liepaja;Liepaja;Liepaja;Liepaja;Liepaja;Liepaja;Liepaja;;;X;
PROV206;Siauliai;Siauliai;Siauliai;Siauliai;Siauliai;Siauliai;Siauliai;Siauliai;;;X;
PROV207;Kaunas;Kaunas;Kaunas;Kaunas;Kaunas;Kaunas;Kaunas;Kaunas;;;X;
PROV208;Bydgoszcz;Bydgoszcz;Bydgoszcz;Bydgoszcz;Bydgoszcz;Bydgoszcz;Bydgoszcz;Bydgoszcz;;;X;
PROV209;Grodno;Grodno;Grodno;Grodno;Grodno;Grodno;Grodno;Grodno;;;X;
PROV210;Slonim;Slonim;Slonim;Slonim;Slonim;S³onim;Slonim;Slonim;;;X;
PROV211;Kalisz;Kalisz;Kalisz;Kalisz;Kalisz;Kalisz;Kalisz;Kalisz;;;X;
PROV212;Minsk;Minsk;Minsk;Minsk;Minsk;Minsk;Minsk;Minsk;;;X;
PROV213;Glebokie;Glebokie;Glebokie;Glebokie;Glebokie;G³êbokie;Glebokie;Glebokie;;;X;
PROV214;Wilno;Wilno;Wilno;Wilno;Wilno;Wilno;Wilno;Wilno;;;X;
PROV215;Velikije Luki;Velikije Luki;Velikije Luki;Velikije Luki;Velikije Luki;Velikije Luki;Velikije Luki;Velikije Luki;;;X;
PROV216;Dno;Dno;Dno;Dno;Dno;Dno;Dno;Dno;;;X;
PROV217;Viciebsk;Viciebsk;Viciebsk;Viciebsk;Viciebsk;Viciebsk;Viciebsk;Viciebsk;;;X;
PROV218;Orsa;Orsa;Orsa;Orsa;Orsa;Orsa;Orsa;Orsa;;;X;
PROV219;Smolensk;Smolensk;Smolensk;Smolensk;Smolensk;Smolensk;Smolensk;Smolensk;;;X;
PROV220;Mahilou;Mahilou;Mahilou;Mahilou;Mahilou;Mahilou;Mahilou;Mahilou;;;X;
PROV221;Babrujsk;Babrujsk;Babrujsk;Babrujsk;Babrujsk;Babrujsk;Babrujsk;Babrujsk;;;X;
PROV222;Wloclawek;Wloclawek;Wloclawek;Wloclawek;Wloclawek;W³oc³awek;Wloclawek;Wloclawek;;;X;
PROV223;Tilsit;Tilsit;Tilsit;Tilsit;Tilsit;Tilsit;Tilsit;Tilsit;;;X;
PROV224;Zalaegerszeg;Zalaegerszeg;Zalaegerszeg;Zalaegerszeg;Zalaegerszeg;Zalaegerszeg;Zalaegerszeg;Zalaegerszeg;;;X;
PROV225;Mazyr;Mazyr;Mazyr;Mazyr;Mazyr;Mazyr;Mazyr;Mazyr;;;X;
PROV226;Novograd-Volinskij;Novograd-Volinskij;Novograd-Volinskij;Novograd-Volinskij;Novograd-Volinskij;Novograd-Volinskij;Novograd-Volinskij;Novograd-Volinskij;;;X;
PROV227;Zitomir;Zitomir;Zitomir;Zitomir;Zitomir;Zitomir;Zitomir;Zitomir;;;X;
PROV228;Vinnicâ;Vinnicâ;Vinnicâ;Vinnicâ;Vinnicâ;Vinnicâ;Vinnicâ;Vinnicâ;;;X;
PROV229;Tarnopol;Tarnopol;Tarnopol;Tarnopol;Tarnopol;Tarnopol;Tarnopol;Tarnopol;;;X;
PROV230;Balti;Balti;Balti;Balti;Balti;Balti;Balti;Balti;;;X;
PROV231;Mogiliv-Podil's'kij;Mogiliv-Podil's'kij;Mogiliv-Podil's'kij;Mogiliv-Podil's'kij;Mogiliv-Podil's'kij;Mogiliv-Podil's'kij;Mogiliv-Podil's'kij;Mogiliv-Podil's'kij;;;X;
PROV232;Balta;Balta;Balta;Balta;Balta;Balta;Balta;Balta;;;X;
PROV233;Odesa;Odesa;Odesa;Odesa;Odesa;Odesa;Odesa;Odesa;;;X;
